"Aberdeen, SD",ABR
"Abilene, TX",ABI
"Akron, OH",CAK
"Albany, GA",ABY
"Albany, NY",ALB
"Albuquerque, NM",ABQ
"Alexandria, La",ESF
"Allentown, PA",ABE
"Altoona, PA",AOO
"Amarillo, TX",AMA
"Anchorage, AK",ANC
"Ann Arbor, MI",ARB
"Anniston, AL",ANB
"Appelton/Neenah/Menasha, WI",ATW
"Asheville, NC",AVL
"Aspen Snowmass, CO",ASE
"Athens, GA",AHN
"Athens, OH",ATO
"Atlanta, Hartsfield Atlanta Int'l Airport",ATL
"Atlantic City, NJ",ACY
"Augusta, GA",AGS
"Augusta, ME",AUG
"Austin, TX",AUS
"Bakersfield, CA",BFL
Baltimore Washington Int'l Airport; MD,BWI
"Bangor, ME",BGR
"Baton Rouge, La",BTR
"Beaumont/Pt. Arthur, TX",BPT
"Beckley, WV",BKW
"Bellingham, WA",BLI
"Bemidji, MN",BJI
"Benton Harbour, MI",BEH
"Bethel, AK",BET
"Billings, MT",BIL
"Birmingham, AL",BHM
"Bismarck/Mandan, ND",BIS
"Bloomington, IL",BMI
"Bloomington, IN",BMG
"Bluefield, WV",BLF
"Boise, ID",BOI
"Borrego Springs, CA",BXS
"Boston - Logan, MA",BOS
"Bozeman, MT",BZN
"Bradford/Warren, PA/Olean, NY",BFD
"Brainerd, MN",BRD
"Bridgeport, CT",BDR
"Brookings, SD",BKX
"Brunswick, GA",BQK
"Buffalo/Niagara Falls, NY",BUF
"Bullhead City, NV",BHC
"Burbank, CA",BUR
"Burlington, IA",BRL
"Burlington, VT",BTV
"Butte, MT",BTM
"Carlsbad, CA",CLD
"Casper, WY",CPR
"Cedar City, UT",CDC
"Cedar Rapids, IA",CID
"Champaign, IL",CMI
"Charleston, SC",CHS
"Charleston, WV",CRW
"Charlotte, NC",CLT
"Charlottesville, VA",CHO
"Chattanooga, TN",CHA
"Cheyenne, WY",CYS
"Chicago, Midway, IL",MDW
"Chicago O'Hare Int'l Airport, IL",ORD
"Chicago, IL",CHI
"Chico, CA",CIC
"Cincinnati, OH",CVG
"Clarksburg, WV",CKB
"Cleveland, Burke Lakefront, OH",BKL
"Cleveland, Hopkins, OH",CLE
"Cody/Powell/Yellowstone, WY",COD
"Coffmann Cove, AK",KCC
"College Station/Bryan, TX",CLL
"Colorado Springs, CO",COS
"Columbia, SC",CAE
"Columbus, GA",CSG
"Columbus, OH",CMH
"Concord, CA",CCR
"Cordova, AK",CDV
"Corpus Christi, TX",CRP
"Craig, AK",CGA
"Crescent City, CA",CEC
"Dallas, Love Field, TX",DAL
"Dallas/Ft. Worth, TX",DFW
"Danville, VA",DAN
"Dayton, OH",DAY
"Daytona Beach, FL",DAB
"Decatur, IL",DEC
"Denver International Airport, CO",DEN
"Des Moines, IA",DSM
"Detroit City, MI",DET
"Detroit Metropolitan Wayne County Airport, MI",DTW
"Detroit Metropolitan Area, MI",DTT
"Devils Lake, ND",DVL
"Dillingham, AK",DLG
"Dothan, AL",DHN
"Dubois, PA",DUJ
"Dubuque, IA",DBQ
"Duluth, MN/Superior, WI",DLH
"Durango, CO",DRO
"Dutch Harbor, AK",DUT
"Eau Clarie, WI",EAU
"El Paso, TX",ELP
"Elkhart, IN",EKI
"Elko, NV",EKO
"Elmira, NY",ELM
"Ely, NV",ELY
"Erie, PA",ERI
"Escabana, MI",ESC
"Eugene, OR",EUG
"Eureka, CA",ACV
"Evansville, IN",EVV
"Fairbanks, AK",FAI
"Fargo, ND, MN",FAR
"Farmington, NM",FMN
"Fayetteville, AR",FYV
"Fayetteville/Ft. Bragg, NC",FAY
"Flagstaff, AZ",FLG
"Flint, MI",FNT
"Florence, SC",FLO
"Fort Dodge, IA",FOD
"Fort Huachuca/Sierra Vista, AZ",FHU
"Fort Lauderdale/Hollywood, FL",FLL
"Fort Myers, Metropolitan Area, FL",FMY
"Fort Myers, Southwest Florida Reg, FL",RSW
"Fort Smith, AR",FSM
"Fort Walton Beach, FL",VPS
"Fort Wayne, IN",FWA
"Franklin/Oil City, PA",FKL
"Fresno, CA",FAT
"Gadsden, AL",GAD
"Gainesville, FL",GNV
"Gilette, WY",GCC
"Glasgow, MT",GGW
"Glendive, MT",GDV
"Grand Canyon, AZ",GCN
"Grand Forks, ND",GFK
"Grand Junction, CO",GJT
"Grand Rapids, MI",GRR
"Grand Rapids, MN",GPZ
"Great Falls, MT",GTF
"Green Bay, WI",GRB
"Greenbrier/Lewisburg, WV",LWB
"Greensboro/Winston Salem, NC",GSO
"Greenville, MS",GLH
"Greenville, NC",PGV
"Greenville/Spartanburg, SC",GSP
"Groton/New London, CT",GON
"Gulfport/Biloxi, MS",GPT
"Gunnison/Crested Butte, CO",GUC
"Haines, AK",HNS
"Hancock, MI",CMX
"Harlington/South Padre Island, TX",HRL
"Harrisburg, PA - Harrisburg Skyport",HAR
"Harrisburg, PA - Harrisburg Int'l",MDT
"Hartford, CT/Springfield, MA",BDL
"Havre, MT",HVR
"Helena, MT",HLN
"Hibbing, MN",HIB
"Hickory, NC",HKY
"Hilo, HI",ITO
"Hilton Head Island, SC",HHH
"Homer, AK",HOM
"Honolulu, HI",HNL
"Hoonah, AK",HNH
"Houston, Hobby, TX",HOU
"Houston, Intercontinental, TX",IAH
"Huntington, OH",HTS
"Huntsville, AL",HSV
"Huron, SD",HON
"Hyannis, MA",HYA
"Hydaburg, AK",HYG
"Idaho Falls, ID",IDA
"Iliamna, AK",ILI
"Imperial, CA",IPL
"Indianapolis, IN",IND
"International Falls, MN",INL
"Inykern, CA",IYK
"Ithaca/Cortland, NY",ITH
"Jackson Hole, WY",JAC
"Jackson, MI",JXN
"Jackson, MS",JAN
"Jackson, TN",MKL
"Jacksonville, FL",JAX
"Jacksonville, NC",OAJ
"Jamestown, ND",JMS
"Jamestown, NY",JHW
"Johnstown, PA",JST
"Joplin, MO",JLN
"Juneau, AK - Juneau Int'l",JNU
"Kahului, HI",OGG
"Kalamazoo/Battle Creek, MI",AZO
"Kalispell, MT",FCA
"Kamuela, HI",MUE
"Kansas City, MO - Int'l",MCI
"Kapalua West, HI",JHM
"Kaunakakai, HI",MKK
"Kenai, AK",ENA
"Ketchikan, AK",KTN
"Key West, FL",EYW
"Killeem, TX",ILE
"King Salomon, AK",AKN
"Kingston, NC",ISO
"Klamath Fall, OR",LMT
"Klawock, AK",KLW
"Knoxville, TN",TYS
"Kodiak, AK",ADQ
"Kona, HI",KOA
"Kotzbue, AK",OTZ
"Labouchere Bay, AK",WLB
"La Crosse, WI",LSE
"Lafayette, IN",LAF
"Lafayette, La",LFT
"Lake Charles, La",LCH
"Lake Havasu City, AZ",HII
"Lake Tahoe, CA",TVL
"Lanai City, HI",LNY
"Lancaster, PA",LNS
"Lansing, MI",LAN
"Laramie, WY",LAR
"Laredo, TX",LRD
"Las Vegas, NV",LAS
"Latrobe, PA",LBE
"Laurel/Hattisburg, MS",PIB
"Lawton, OK",LAW
"Lebanon, NH",LEB
